,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield(Metric Tonne/hectare),Yield (predicted),P Ð 0,(P-O)^2
Bog_08,129,101.6,19.9,19.6,1116,335.6,2.9,2.151,1.810104,-0.340896,0.116210082816
Bog_09,131.8,99.8,19.6,20.5,1022,327,12.1,2.049,1.822337,-0.226663,0.051376115569
Dinaj_08,127.8,100.4,20.8,21.3,1109,340.2,2.3,2.461,1.797398,-0.663602,0.440367614404
Dinaj_09,130,99,20.1,23.8,1147,329,6.4,2.364,1.680611,-0.683389,0.467020525321
Faridpur_08,127.3,101.7,19.6,21.8,1000,337.9,2.3,1.874,1.745986,-0.128014,0.016387584196
Faridpur_09,129.8,100.1,18.8,21.4,1477,335,7.9,1.949,1.709163,-0.239837,0.057521786569
Jessore_08,131.9,99.8,18.5,16.6,1257,344.8,5.7,2.451,1.975545,-0.475455,0.226057457025
Jessore_09,133.7,96.6,16.9,16.3,1192,334,17.7,2.271,2.118767,-0.152233,0.023174886289
Khulna_08,128.4,102.9,21.9,19.9,1069,346,1.8,1.983,1.77317,-0.20983,0.0440286289
Khulna_09,130.5,100.2,21,19,1383,339,5.3,2.448,1.831889,-0.616111,0.379592764321
Madaripur_08,126.8,102.6,20.6,21.5,1197,348.3,2.1,1.278,1.708964,0.430964,0.185729969296
Madaripur_09,129.8,99.2,21,21.1,1090,340,2.7,1.628,1.826574,0.198574,0.039431633476
Rajsh_08,129.8,100.8,20.3,22.9,868,346.2,3.4,2.587,1.723185,-0.863815,0.746176354225
Rajsh_09,131.9,98.4,19.9,22.7,750,338,7.8,2.557,1.817986,-0.739014,0.546141692196
Satkhira_08,128.1,100.8,19.1,3,982,346.9,1.8,2.612,2.729285,0.117285,0.013755771225
Satkhira_09,130.9,96.8,18.8,19.7,1182,337,5,2.3,1.957605,-0.342395,0.117234336025
Tangail_08,128.4,101.2,20.2,20,1164,339.2,3.6,1.811,1.812949,0.001949,3.79860099999992E-06
Tangail_09,132,98.4,20,20.3,928,333,10,1.844,1.90394,0.05994,0.0035928036
Bar_08,126,101.3,22,18.5,1458,353.4,3.1,1.859,1.885384,0.026384,0.000696115456
Bar_09,128.2,99.1,21.8,20.1,1390,351,7.7,1.842,1.877869,0.035869,0.001286585161
Chand_08,126.8,101.8,23.2,16.1,1515,344.9,1.8,1.653,1.950077,0.297077,0.088254743929
Chand_09,129,98.8,21.9,17.3,1084,339,8.8,1.899,2.064729,0.165729,0.027466101441
Comilla_08,126.3,99.6,22.3,23.3,1344,340.3,5.8,2.118,1.719253,-0.398747,0.158999170009
Comilla_09,129.7,97.4,21.2,23.5,1243,337,8.2,2.291,1.761034,-0.529966,0.280863961156
Dhaka_08,127.9,102.8,22.9,17.3,1388,325.5,3.6,1.784,1.837705,0.053705,0.002884227025
Dhaka_09,129.5,101.1,22.1,18.9,1530,316,10.1,1.419,1.776903,0.357903,0.128094557409
Mymen_08,126,101.6,22.6,18.2,1128,351.7,3.9,2.102,1.951821,-0.150179,0.022553732041
Mymen_09,128.1,99.5,21.6,20.5,1050,339,6.9,1.799,1.891414,0.092414,0.008540347396
Patuakhali_08,126.4,101.7,20.6,19.4,2117,358.9,2.7,1.351,1.697015,0.346015,0.119726380225
Patuakhali_09,128,99.6,20.7,19.6,1765,355,7.8,1.664,1.819718,0.155718,0.024248095524
Rangpur_08,126.3,100.1,22.2,19.6,1030,343.6,3.5,2.278,1.943158,-0.334842,0.112119164964
Rangpur_09,129.2,98.7,21,22.2,1444,338,10.3,2.39,1.752169,-0.637831,0.406828384561
Bhola_08,124.8,101.5,20.1,19.2,1479,359.6,2,1.817,1.860768,0.043768,0.001915637824
Bhola_09,125,99.3,20.2,19.4,1357,356,4.3,1.733,1.95964,0.22664,0.0513656896
Bog_08,131.5,93.9,14.1,22.9,648,305.1,4.6,2.066,1.959672,-0.106328,0.011305643584
Bog_09,133.9,90.2,12.2,25,385,288,11.4,1.685,2.007252,0.322252,0.103846351504
Dinaj_08,127.7,89.7,15.6,28.9,629,308.9,3.4,2.416,1.891702,-0.524298,0.274888392804
Dinaj_09,129.7,86.8,13.7,29,877,293,7.3,2.019,1.911839,-0.107161,0.011483479921
Faridpur_08,134.5,95.7,13.8,28.9,356,305.1,3.7,0.983,1.588824,0.605824,0.367022718976
Faridpur_09,139,93.1,11.8,29.5,676,286,10.7,0.931,1.521627,0.590627,0.348840253129
Jessore_08,139.4,94,14.7,24.5,526,312.3,7.7,2.314,1.785208,-0.528792,0.279620979264
Jessore_09,144.9,92.4,10.9,25.1,387,293,24.7,2.19,1.774652,-0.415348,0.172513961104
Khulna_08,135.9,98.4,16.5,28.4,425,311.9,2.1,1.509,1.476853,-0.032147,0.001033429609
Khulna_09,140.2,97.1,13.3,30.6,396,297,10,1.416,1.353375,-0.062625,0.003921890625
Madaripur_08,133.8,96.6,15.6,26.8,427,320.5,2.6,1.117,1.673852,0.556852,0.310084149904
Madaripur_09,137.5,93.6,14,29.7,478,310,4.8,1,1.567864,0.567864,0.322469522496
Rajsh_08,137.6,93.1,13.6,28.4,421,297.9,4,2.309,1.645611,-0.663389,0.440084965321
Rajsh_09,142.4,90.4,12.4,30.7,285,276,8.9,2.061,1.56958,-0.49142,0.2414936164
Satkhira_08,136.4,97,14.5,28.8,430,310.8,3.5,1.853,1.503811,-0.349189,0.121932957721
Satkhira_09,139.8,95.2,11.6,29.4,249,297,8.4,2.167,1.517794,-0.649206,0.421468430436
Tangail_08,131.9,93.4,14.9,26.9,615,310.1,4.1,1.038,1.782415,0.744415,0.554153692225
Tangail_09,136.7,89.6,13,28,463,293,11.3,0.858,1.824886,0.966886,0.934868536996
Barisal_08,132.7,97.3,17.5,26.1,341,328.2,4.8,1.371,1.73253,0.36153,0.1307039409
Barisal_09,136,96.2,15.6,29.6,397,314,13.7,1.546,1.540535,-0.005465,2.98662250000006E-05
Chandpur_08,132.8,96.3,18.3,26.3,564,316.3,1.9,1.885,1.696756,-0.188244,0.035435803536
Chandpur_09,136.4,94.2,17.3,22.9,458,305,9.4,1.783,1.918512,0.135512,0.018363502144
Comilla_08,129.5,92.5,16.8,28.1,672,326.6,5.2,1.971,1.810226,-0.160774,0.025848279076
Comilla_09,132.9,92,15.6,29.7,581,316,10.7,2.106,1.712041,-0.393959,0.155203693681
Dhaka_08,133.4,97.7,17.6,26.3,918,284.7,5.2,1.326,1.535673,0.209673,0.043962766929
Dhaka_09,138,96.6,15.9,28,395,265,15.2,1.502,1.519412,0.017412,0.000303177744
Mymensingh_08,126,92.8,17.8,23,1076,328.1,4.9,1.784,2.038666,0.254666,0.064854771556
Mymensingh_09,128.9,89.8,15.2,24.3,612,320,8,1.436,2.128664,0.692664,0.479783416896
Patuakhali_08,134.1,97,15.8,26,343,327.9,3.6,1.572,1.720982,0.148982,0.022195636324
Patuakhali_09,137.2,96.8,14.4,29.8,533,322,9,1.558,1.456755,-0.101245,0.010250550025
Rangpur_08,124.7,89.1,17.6,25.1,840,317.3,5.1,1E-08,2.132853,2.13285299,4.54906187695194
Rangpur_09,127.4,86.8,15.3,24,773,304,11.6,1E-08,2.247799,2.24779899,5.05260029944502
Bhola_08,129.9,97,15.2,25.4,495,337,3,1.317,1.800373,0.483373,0.233649457129
Bhola_09,133.4,96.3,13.3,27.8,542,329,6.6,1.202,1.639248,0.437248,0.191185813504
Bog_08,105.8,59.5,5.8,21.5,27,311,1.5,4.145,3.924496,-0.220504,0.048622014016
Bog_09,109.9,57.8,3.8,25,3,299,8.1,3.987,3.754396,-0.232604,0.054104620816
Rajsh_08,104,54.6,6.2,28,26,317.8,2.1,4.123,3.830181,-0.292819,0.085742966761
Rajsh_09,109.1,53,3.3,26.4,8,308,7.7,3.83,3.894979,0.064979,0.004222270441
Dinaj_08,101.3,55.9,7.1,25,34,318.9,1.9,3.81,3.97463,0.16463,0.0271030369
Dinaj_09,104.9,54.7,4.4,23.5,1,310,5.8,3.777,4.042709,0.265709,0.070601272681
Tangail_08,103.9,58.5,5.9,24.1,77,322.4,1.2,3.868,3.867427,-0.000573,3.28328999999671E-07
Tangail_09,109.1,56.9,3.9,22.4,0,312,7.4,3.923,3.948442,0.025442,0.000647295364
Faridpur_08,105.4,61.3,5.9,25.6,87,312.4,1,4.121,3.642009,-0.478991000000001,0.229432378081001
Faridpur_09,111.2,60.1,3.2,27.7,0,299,5.7,3.889,3.49925,-0.38975,0.1519050625
Satkhira_08,107.5,60.6,4.3,15.3,131,317.3,1.2,3.552,4.151515,0.599515,0.359418235225
Satkhira_09,113.3,60.7,3.4,27,19,311,6,3.615,3.487721,-0.127279,0.016199943841
Jessore_08,110.5,55.8,4.5,24.8,105,321.8,0.9,3.947,3.822071,-0.124929,0.015607255041
Jessore_09,116.6,54.1,2.3,22.3,5,310,8.2,4.009,3.938124,-0.070876,0.005023407376
Khulna_08,107.6,65.1,4.9,27,102,318.7,0.5,3.509,3.387193,-0.121807,0.014836945249
Khulna_09,112.6,64.8,3.6,29.3,27,312,3.7,3.683,3.214562,-0.468438,0.219434159844
Madaripur_08,108.4,62.7,5.7,28.6,55,317.4,0.6,3.999,3.39646,-0.60254,0.3630544516
Madaripur_09,113.9,60.5,3.7,29.1,12,315,0.7,3.893,3.371517,-0.521483,0.271944519289
Barisal_08,108.4,61.2,4.8,28.9,65,327.7,1.2,3.719,3.451836,-0.267164,0.071376602896
Barisal_09,114.2,60.7,3.9,30,33,319,5.8,3.464,3.328119,-0.135881,0.018463646161
Chandpur_08,108,65.9,7.5,21,61,310.8,1,3.466,3.653582,0.187582,0.035187006724
Chandpur_09,112.2,64.6,7,15,4,305,6.8,4.095,3.957929,-0.137071,0.018788459041
Comilla_08,107,61.6,5.7,28.7,41,314.7,2,3.72,3.461327,-0.258673,0.066911720929
Comilla_09,111.3,59.7,3.2,30.4,0,306,8.1,3.882,3.392011,-0.489989,0.240089220121
Dhaka_08,105.9,65.6,6.7,23.1,79,282.1,2.4,4.275,3.560092,-0.714908,0.511093448464001
Dhaka_09,111.8,66,4.1,25.9,6,262,10.7,4.022,3.316474,-0.705526,0.497766936676
Mymensingh_08,103.5,59.3,6.2,23.5,35,330.5,1.7,3.323,3.891771,0.568771,0.323500450441
Mymensingh_09,108.7,59.2,3.5,25.5,0,325,3.7,3.521,3.712513,0.191513,0.036677229169
Patuakhali_08,109.3,64.1,5.2,27.8,54,324.1,1.5,1.608,3.376766,1.768766,3.128533162756
Patuakhali_09,113.8,63.7,4.4,30.6,11,321,7,2.326,3.195991,0.869991,0.756884340081
Rangpur_08,100.8,57.7,6.3,23.6,37,323.5,2,3.928,3.986826,0.058826,0.003460498276
Rangpur_09,104.6,56.6,5.6,22,0,321,7.4,4.046,4.066687,0.020687,0.000427951969
Bhola_08,107.8,63.3,5.7,26.2,38,331.8,0.8,3.514,3.524476,0.010476,0.000109746576
Bhola_09,112.5,62.8,4.4,29.5,21,323,3.7,3.309,3.299961,-0.009039,8.17035210000003E-05
,,,,,,,,,,,
,,,,,,,,,,sum,28.491364809015
,,,,,,,,,,sum by observation,0.279327105970735
,,,,,,,,,,RMSE,0.528514054657712
