Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P-O,(P-O)^2
1,129.5,100,20.7,20.8,835,331,6.9,2.606,2.0395684,-0.5664316,0.32084475747856
2,131,101.9,18.1,23.7,973,333,8.8,1.948,2.0979087,0.1499087,0.02247261833569
3,135.1,99.9,17.8,18.3,808,328,20.9,2.38,2.0379128,-0.3420872,0.11702365240384
4,132.2,102.8,20.4,22.3,874,335,5.9,2.235,1.9201535,-0.3148465,0.09912831856225
5,131.4,101,21.5,23.4,797,339,2.4,1.479,2.2690053,0.7900053,0.62410837402809
6,133.2,99.9,19.1,24.2,423,336,8.8,2.666,1.7479839,-0.9180161,0.84275355985921
7,131.7,120.1,18.1,22.3,718,337,5.2,2.799,1.9223026,-0.8766974,0.76859833116676
8,132.3,100.2,19.5,20.7,809,334,8.2,2.006,2.2810857,0.2750857,0.07567214234449
9,129.3,102,21.3,21.7,866,347,5.2,2.028,2.1284313,0.1004313,0.01008644601969
10,130,102.3,22.6,19.3,969,333,10,1.562,1.6190245,0.0570245,0.00325179360025
11,131.2,100.5,20.8,24.9,737,333,7,2.389,2.2840445,-0.1049555,0.01101565698025
12,131,103.5,21.6,18.9,850,308,9.4,1.438,1.6413614,0.2033614,0.04135585900996
13,127.9,101.1,22.4,18.9,1185,342,7.3,2.151,2.0962238,-0.0547762,0.00300043208644
14,130.2,101.8,20.3,21.4,1389,372,6.7,1.704,1.9427651,0.2387651,0.05700877297801
15,128.5,100,22.9,21.3,1040,332,10,2.646,1.879402,-0.766598,0.587672493604
16,127.6,101.6,20.2,21.5,1118,348,3.3,1.89,1.9751463,0.0851463,0.00724989240369
17,135.3,95,15.1,22.4,497,295,13.8,1.959,1.2900097,-0.6689903,0.44754802149409
18,132,89.8,16.8,26,805,296,7.6,1.986,1.9980247,0.0120247,0.00014459341009
19,138.4,97.5,13.6,27.8,975,299,12.4,0.896,1.8752968,0.9792968,0.95902222249024
20,143.8,98,13.4,19.7,521,297,27,2.369,1.3065467,-1.0624533,1.12880701468089
21,140.2,100.1,16,29.5,468,303,9.3,1.514,1.5593122,0.0453122,0.00205319546884
22,137.5,96.7,17.8,27.3,523,312,3.2,0.896,1.3548166,0.4588166,0.21051267243556
23,145.1,94.7,13.7,27.4,325,284,9.4,2.156,1.5550416,-0.6009584,0.36115099853056
24,140.1,101,13.2,27.4,558,305,9.4,2.422,1.6696824,-0.7523176,0.56598177126976
25,137.4,93.4,16.4,26.2,873,301,11.9,0.878,1.7704295,0.8924295,0.79643041247025
,,,,,,,,,,,
,,,,,,,,,,sum,8.06289400311146
,,,,,,,,,,sum by observation,0.322515760124458
,,,,,,,,,,RMSE,0.567904710426369
